Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Plane colors,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Seat comfort,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,disloyal Customer,36,Business travel,Business,2556,2,3,3,3,1,3,5,2,4,5,5,5,5,2,13,neutral or dissatisfied
Female,Loyal Customer,28,Business travel,Unknown,2296,1,2,4,4,4,2,2,5,,3,3,4,2,0,0,neutral or dissatisfied
Male,Loyal Customer,36,Business travel,Unknown,3672,2,2,2,2,2,1,5,5,4,5,4,5,3,0,0,satisfied
Male,Loyal Customer,50,Business travel,Eco,224,3,4,4,4,4,4,4,5,4,4,5,3,4,0,0,satisfied
Female,Loyal Customer,29,Business travel,Unknown,2675,1,1,3,3,3,1,1,1,,1,4,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,1020,1,2,2,2,2,3,4,5,5,5,4,5,3,0,0,satisfied
Female,Loyal Customer,50,Business travel,Business,404,1,1,3,5,3,5,5,5,5,1,5,5,5,4,0,satisfied
Male,Loyal Customer,56,Business travel,Business,2422,2,4,4,4,4,4,4,2,,5,4,5,4,0,3,satisfied
Female,Loyal Customer,29,Business travel,Business,3458,3,2,4,5,4,2,2,2,1,1,5,3,2,0,0,neutral or dissatisfied
Male,Loyal Customer,74,Business travel,Eco Plus,826,1,5,1,1,1,5,5,1,,1,2,5,5,76,110,satisfied
Female,Loyal Customer,29,Personal Travel,Eco,73,1,2,1,2,1,2,3,5,,2,3,2,3,141,184,neutral or dissatisfied
Female,Loyal Customer,51,Personal Travel,Eco,399,3,2,2,2,4,3,3,2,2,2,2,2,2,0,0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Eco,3762,1,5,5,5,5,3,4,5,5,5,4,5,5,10,5,satisfied
Male,Loyal Customer,65,Business travel,Eco,508,3,3,3,4,4,1,3,4,4,2,4,2,3,0,0,neutral or dissatisfied
Female,disloyal Customer,38,Business travel,Business,581,2,4,3,3,5,5,5,5,,5,3,4,5,3,0,satisfied
Female,Loyal Customer,21,Personal Travel,Eco,819,3,3,5,3,3,5,4,3,5,3,5,5,5,17,1,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Eco,1846,3,2,1,1,1,2,2,5,,2,1,3,2,0,4,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,1604,2,5,5,5,5,4,4,5,5,4,3,5,3,0,,satisfied
Male,Loyal Customer,39,Business travel,Unknown,2434,3,2,3,2,2,4,2,2,,5,1,4,5,107,90,satisfied
Male,Loyal Customer,54,Business travel,Business,386,2,2,2,2,2,5,4,2,,4,5,1,4,24,22,satisfied
Female,Loyal Customer,32,Personal Travel,Unknown,1167,2,2,5,2,4,4,3,5,2,4,3,5,4,1,0,neutral or dissatisfied
Female,Loyal Customer,13,Business travel,Business,2024,2,3,3,3,3,5,1,4,,3,2,4,3,7,,satisfied
Female,Loyal Customer,26,Business travel,Eco,602,1,4,2,3,1,2,2,2,,3,2,4,2,26,35,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco,207,2,5,2,2,3,4,2,2,2,3,2,3,5,0,0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Eco,896,3,2,4,5,4,2,2,1,4,1,5,2,2,0,0,satisfied
Male,Loyal Customer,7,Personal Travel,Unknown,528,2,2,2,2,4,2,2,3,3,3,3,3,2,0,0,neutral or dissatisfied
Male,Loyal Customer,65,Business travel,Business,888,2,4,4,4,4,4,4,4,4,4,5,4,4,28,21,satisfied
Male,Loyal Customer,20,Business travel,Eco Plus,642,2,5,1,5,5,5,5,4,,4,5,4,5,0,0,satisfied
Female,Loyal Customer,35,Personal Travel,Eco,1065,3,1,5,1,1,5,1,3,,5,5,4,5,11,0,neutral or dissatisfied
Female,Loyal Customer,21,Business travel,Business,1771,2,1,3,2,3,5,2,1,,5,3,5,2,10,11,satisfied
Female,Loyal Customer,44,Business travel,Business,84,2,3,4,3,3,2,3,5,5,3,5,5,2,42,29,satisfied
Male,Loyal Customer,53,Business travel,Unknown,1185,3,5,4,4,4,2,5,2,4,5,4,1,5,92,76,satisfied
Female,Loyal Customer,29,Business travel,Business,1916,2,3,4,5,3,5,5,3,,4,4,3,5,0,0,satisfied
Male,disloyal Customer,29,Business travel,Business,1020,3,2,2,5,3,1,5,3,3,5,5,4,1,0,0,neutral or dissatisfied
Female,disloyal Customer,57,Business travel,Business,861,1,2,2,2,3,1,1,3,2,5,5,5,1,0,0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,925,3,3,3,4,2,1,3,5,5,5,5,5,3,17,9,satisfied
Female,Loyal Customer,26,Business travel,Unknown,1587,1,5,5,5,5,3,4,4,4,5,5,4,4,15,4,satisfied
Female,Loyal Customer,8,Business travel,Business,3678,1,4,4,4,5,4,1,5,4,5,5,4,4,2,0,satisfied
Female,Loyal Customer,9,Personal Travel,Eco,577,2,1,3,1,3,1,1,5,,5,3,5,1,0,0,neutral or dissatisfied
Female,Loyal Customer,79,Business travel,Eco,524,3,3,5,2,1,5,4,2,,3,1,3,2,0,0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,190,3,0,5,1,5,1,1,4,4,4,1,4,2,0,0,satisfied
Female,Loyal Customer,19,Personal Travel,Eco,867,2,5,4,1,2,4,5,4,1,4,1,4,3,6,0,neutral or dissatisfied
Male,disloyal Customer,29,Business travel,Business,1256,1,0,0,0,4,1,1,4,5,4,5,5,1,6,0,satisfied
Male,Loyal Customer,14,Business travel,Business,2730,3,5,5,5,4,3,4,5,5,5,3,2,3,0,0,satisfied
Female,Loyal Customer,22,Business travel,Eco,325,3,2,2,2,2,2,2,5,,3,4,3,2,14,,neutral or dissatisfied
Male,Loyal Customer,39,Business travel,Business,1197,2,2,2,2,2,4,4,4,1,4,1,4,3,39,1,satisfied
Male,Loyal Customer,10,Business travel,Unknown,224,2,1,3,0,1,2,1,3,,3,4,3,5,0,0,satisfied
Male,Loyal Customer,35,Business travel,Unknown,3714,3,2,2,2,2,4,5,4,4,4,5,4,3,0,0,satisfied
Male,disloyal Customer,21,Business travel,Eco,250,2,2,4,2,4,1,3,2,1,2,4,3,3,0,15,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Eco,308,2,3,1,3,3,2,4,4,3,4,3,1,3,24,24,satisfied
Female,disloyal Customer,22,Business travel,Business,753,1,4,4,2,1,4,2,4,1,5,3,1,4,0,0,satisfied
Female,disloyal Customer,50,Business travel,Eco,453,1,3,1,3,4,3,3,2,2,4,3,4,3,3,5,neutral or dissatisfied
Male,Loyal Customer,57,Business travel,Business,1438,1,5,5,5,5,5,4,2,,2,4,2,3,0,0,satisfied
Female,Loyal Customer,32,Business travel,Business,3565,1,3,3,3,4,2,1,3,3,3,4,3,1,109,102,satisfied
Female,Loyal Customer,50,Personal Travel,Eco,1605,1,2,3,2,3,4,3,4,,3,3,4,3,6,19,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Eco,383,1,4,4,4,4,4,4,5,,4,3,5,4,99,99,satisfied
Female,Loyal Customer,48,Business travel,Eco,641,3,3,3,3,3,5,4,3,3,3,4,3,2,1,0,neutral or dissatisfied
Male,Loyal Customer,8,Personal Travel,Unknown,227,3,1,3,1,3,3,3,5,4,4,3,1,3,0,,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,1846,1,3,3,2,3,5,5,5,5,5,5,5,5,0,19,satisfied
Female,Loyal Customer,59,Business travel,Unknown,2554,2,5,5,1,4,5,5,5,5,5,5,5,3,16,0,satisfied
Male,Loyal Customer,43,Business travel,Business,113,1,5,5,5,1,5,4,5,,4,2,5,4,0,0,satisfied
Female,Loyal Customer,26,Business travel,Business,861,2,3,2,2,2,5,4,4,4,4,3,1,5,0,0,satisfied
Female,Loyal Customer,49,Business travel,Business,1598,3,5,4,5,4,2,2,2,5,4,2,4,2,201,186,satisfied
Female,Loyal Customer,49,Personal Travel,Eco,589,2,3,5,3,4,1,2,3,4,4,5,5,3,7,5,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Unknown,1769,3,5,5,5,2,5,1,4,4,4,3,2,4,15,95,satisfied
Female,Loyal Customer,44,Personal Travel,Eco,1189,1,4,5,4,3,4,3,1,4,1,5,1,3,6,15,neutral or dissatisfied
Male,Loyal Customer,21,Business travel,Business,356,1,4,4,4,4,1,4,4,4,4,3,5,3,45,27,satisfied
Male,Loyal Customer,19,Personal Travel,Eco,153,2,1,4,1,1,1,1,5,5,5,5,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Eco,2419,3,3,3,3,3,4,5,3,,5,5,1,4,18,12,satisfied
Female,disloyal Customer,43,Business travel,Eco,473,2,4,0,4,1,5,5,5,2,4,1,5,5,0,0,satisfied
Female,Loyal Customer,66,Business travel,Eco,2640,1,5,1,1,2,5,5,5,,3,5,3,5,0,,satisfied
Female,disloyal Customer,42,Business travel,Unknown,991,1,4,4,4,1,2,2,3,4,5,5,4,2,10,8,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,2312,3,3,3,3,3,4,3,4,5,5,4,4,5,1,0,satisfied
Female,Loyal Customer,40,Business travel,Business,1660,3,1,2,2,2,2,2,1,1,1,4,1,3,22,0,neutral or dissatisfied
Male,Loyal Customer,45,Business travel,Business,3581,3,3,3,3,3,5,4,2,,4,5,4,4,0,0,satisfied
Male,Loyal Customer,29,Business travel,Business,2147,3,3,3,3,3,5,5,5,2,5,4,4,5,0,38,satisfied
Female,disloyal Customer,20,Business travel,Eco,668,1,3,5,4,3,1,1,3,,4,4,5,1,6,0,neutral or dissatisfied
Male,disloyal Customer,48,Business travel,Business,842,1,2,2,2,5,5,4,5,3,4,5,3,4,0,9,neutral or dissatisfied
Male,Loyal Customer,34,Business travel,Business,542,3,5,5,5,5,4,2,3,2,3,4,1,4,0,0,satisfied
Female,Loyal Customer,39,Business travel,Eco,257,3,2,2,3,2,5,2,5,5,4,4,5,1,0,2,satisfied
Female,Loyal Customer,15,Business travel,Business,2117,2,1,5,2,1,3,3,3,,5,5,5,3,0,0,satisfied
Female,Loyal Customer,40,Business travel,Business,192,3,3,2,2,2,2,1,5,3,5,3,5,3,5,4,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,404,2,3,3,3,2,2,5,4,,4,3,4,4,0,0,satisfied
Male,Loyal Customer,53,Personal Travel,Eco,1005,3,2,4,2,1,5,3,1,4,3,4,2,5,24,10,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,101,3,3,5,5,3,2,5,1,1,3,2,1,2,0,0,neutral or dissatisfied
Female,disloyal Customer,32,Business travel,Eco,403,1,4,4,3,2,2,2,3,,4,4,5,2,16,12,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Unknown,3161,2,1,1,5,1,5,2,2,3,5,4,2,2,0,0,satisfied
Male,Loyal Customer,30,Business travel,Business,2583,2,3,3,4,4,3,3,5,3,4,1,3,3,11,22,satisfied
Female,Loyal Customer,49,Business travel,Business,723,3,5,5,5,5,3,5,2,,3,5,2,3,0,0,satisfied
Female,Loyal Customer,35,Business travel,Business,309,1,2,1,5,2,3,4,5,4,1,3,5,3,0,0,satisfied
Female,Loyal Customer,58,Business travel,Eco,1460,1,5,5,5,5,2,4,5,5,3,4,4,3,4,5,satisfied
Female,Loyal Customer,50,Business travel,Unknown,1619,1,1,1,1,1,5,4,5,,5,2,5,3,1,14,satisfied
Male,Loyal Customer,25,Business travel,Business,414,1,2,4,4,4,2,2,1,2,2,1,3,2,37,24,neutral or dissatisfied
Male,Loyal Customer,17,Personal Travel,Eco,804,3,1,2,5,3,1,1,3,,4,1,4,1,3,0,neutral or dissatisfied
Female,Loyal Customer,24,Business travel,Business,3663,2,2,2,4,4,2,2,2,3,4,2,4,2,0,,neutral or dissatisfied
Female,Loyal Customer,76,Business travel,Business,3316,3,1,4,3,4,1,1,4,,4,4,4,1,5,5,neutral or dissatisfied
Male,Loyal Customer,7,Personal Travel,Eco,1235,2,3,2,3,2,5,4,3,4,5,3,4,1,0,0,neutral or dissatisfied
Male,Loyal Customer,54,Personal Travel,Eco,1299,3,5,1,5,1,5,5,2,,4,3,5,5,0,0,satisfied
Female,disloyal Customer,20,Business travel,Eco,633,3,2,2,2,3,4,1,2,,2,1,4,5,0,,neutral or dissatisfied
Male,Loyal Customer,27,Personal Travel,Unknown,1069,2,1,5,1,4,2,5,1,2,1,3,1,4,0,0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Eco,1762,2,4,4,4,4,2,2,5,4,4,5,4,4,0,0,satisfied
Female,Loyal Customer,44,Business travel,Unknown,1775,3,3,3,4,3,5,5,4,,4,4,2,3,21,11,satisfied
Male,disloyal Customer,24,Business travel,Eco,759,2,2,2,2,3,3,3,4,,1,2,4,3,7,12,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Eco,305,3,3,3,1,1,3,3,4,3,2,5,3,3,0,0,satisfied
Female,Loyal Customer,76,Business travel,Eco,650,1,3,5,2,2,2,4,4,3,4,1,4,2,0,0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Eco,3919,3,5,5,5,4,3,3,4,,5,3,4,5,10,1,satisfied
Female,disloyal Customer,34,Business travel,Business,357,1,4,4,4,3,1,1,5,2,4,4,5,1,13,21,neutral or dissatisfied
Male,Loyal Customer,68,Personal Travel,Eco,991,1,0,4,1,2,2,5,4,,5,2,4,5,0,,satisfied
Male,Loyal Customer,56,Business travel,Eco,3793,1,3,2,4,4,3,4,4,,4,4,3,3,4,2,satisfied
Female,Loyal Customer,56,Personal Travel,Eco,468,3,3,5,2,4,2,2,3,,3,3,3,5,0,0,neutral or dissatisfied
Male,Loyal Customer,19,Personal Travel,Eco,1192,2,3,2,3,4,4,4,1,4,5,2,4,4,0,0,neutral or dissatisfied
Female,Loyal Customer,20,Business travel,Business,325,3,1,3,5,2,1,1,4,1,4,3,4,1,5,0,neutral or dissatisfied
Female,disloyal Customer,52,Business travel,Eco,789,3,2,2,4,3,1,4,2,4,4,4,4,1,31,22,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Unknown,1259,2,3,3,3,4,2,1,4,1,3,1,4,2,0,0,neutral or dissatisfied
Male,Loyal Customer,36,Business travel,Business,2041,3,2,4,2,5,4,4,5,4,5,4,5,3,0,1,satisfied
Male,Loyal Customer,60,Business travel,Business,1574,1,1,1,1,1,5,4,4,4,4,3,4,4,15,8,satisfied
Female,Loyal Customer,62,Business travel,Unknown,3656,1,0,0,0,3,1,2,1,1,1,4,1,1,0,0,satisfied
Male,Loyal Customer,42,Personal Travel,Eco,862,1,1,3,1,3,1,1,3,,1,2,2,1,0,0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,2034,2,4,4,2,4,3,4,5,5,5,4,5,5,0,0,satisfied
Male,Loyal Customer,30,Personal Travel,Eco,216,3,3,2,3,4,1,3,2,2,3,1,1,1,0,0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Eco,328,3,2,4,4,4,1,4,2,2,4,4,2,2,0,0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Unknown,539,2,2,2,2,1,2,5,5,4,4,5,4,3,0,0,satisfied
